Answer or item Name;Category 1;Category 2;Category 3;Category 4;Category 5;Category 6;Category 7;Category 8
Item 1;Parameter 1;Parameter 1;1;Parameter 1;0.001;Low;Green;-100
Item 2;Parameter 1;Parameter 2;2;Parameter 2;0.002;Medium;Yellow;-55.55
Item 3;Parameter 2;Parameter 1;3;Parameter 3;0.003;High;Blue;500
Item 4;Parameter 2;Parameter 1;4;Parameter 3;0.004;Low;Blue;-10000
Item 5;Parameter 2;Parameter 3;5;Parameter 2;0.005;Medium;Blue;999
Item 6;Parameter 2;Parameter 4;6;Parameter 2;0.006;High;Yellow;59.99
Item 7;Parameter 2;Parameter 1;7;Parameter 3;0.007;Low;Green;-30
Item 8;Parameter 2;Parameter 5;8;Parameter 1;0.008;Medium;Blue;60
Item 9;Parameter 2;Parameter 1;9;Parameter 2;0.009;High;Yellow;80
Item 10;Parameter 2;Parameter 4;10;Parameter 3;0.010;Low;Green;-67
